userId,avg_rating,num_ratings
410,4.06,167
432,3.646,260
442,1.275,20
462,3.407,455
478,2.818,22
490,3.159,113
514,3.311,397
524,3.458,131
529,3.2,25
533,4.382,38
534,3.805,520
547,4.143,21
568,4.13,23
578,3.963,27
582,4.027,56
587,3.976,165
595,4.2,20
78,3.164,61
250,4.222,27
396,3.143,28
402,3.854,48
444,3.81,42
485,3.87,23
513,3.891,32
549,3.667,21
13,3.645,31
14,3.396,48
36,2.633,60
38,3.218,78
57,3.393,476
76,3.084,119
107,3.912,34
118,3.818,22
130,3.536,28
156,3.692,398
185,3.532,47
187,3.775,258
196,3.938,32
198,3.491,230
202,3.819,403
208,3.308,26
218,3.365,26
234,3.505,202
238,3.682,44
239,4.027,279
244,3.774,93
261,3.858,53
262,3.105,57
263,3.717,210
280,3.901,196
303,3.906,53
305,3.925,677
312,3.709,223
315,3.364,33
317,3.73,189
320,3.525,20
321,3.571,56
333,2.64,25
348,4.673,55
351,3.667,141
353,3.489,90
355,3.885,26
362,4.243,109
393,3.841,123
418,3.64,93
426,3.682,88
437,3.803,122
440,3.894,33
480,3.275,836
511,4.125,52
546,3.438,64
562,4.093,231
564,3.58,157
570,3.416,191
573,4.212,299
600,2.991,763
264,3.563,56
374,3.636,33
389,4.118,34
446,3.214,84
456,3.814,43
574,3.957,23
172,3.827,26
6,3.494,314
9,3.261,46
16,3.724,98
17,4.21,105
19,2.607,703
26,3.238,21
27,3.548,135
63,3.631,271
82,3.381,227
84,3.689,293
86,3.929,70
89,3.473,518
112,3.592,65
124,3.99,50
136,3.315,111
143,3.324,71
181,2.941,118
217,2.762,613
219,3.166,528
222,3.166,250
231,3.854,24
249,3.696,1046
252,4.197,38
269,3.621,29
285,3.958,36
290,4.142,267
291,4.258,31
325,3.544,270
332,3.599,267
344,3.768,69
354,3.735,226
364,4.19,21
375,3.909,33
397,3.957,23
399,3.944,36
401,3.528,72
422,3.323,93
424,3.674,138
430,3.741,58
441,4.522,45
453,3.942,311
474,3.399,2108
510,2.903,108
517,2.386,400
551,3.715,123
552,3.12,188
571,2.571,112
577,3.565,161
593,3.267,103
597,3.977,443
601,4.426,101
170,3.34,50
281,3.214,21
349,3.73,37
386,2.75,68
501,3.2,45
