userId,similarity,common_movies
488,0.3083,7709
376,0.0806,14061
527,0.1292,9457
515,0.4248,2940
523,0.1624,5697
467,0.0503,1514
461,-0.0053,3978
596,0.2607,22875
497,-0.0482,6199
293,0.4222,1660
283,0.3669,3875
71,-0.0333,3349
544,-0.1962,1366
492,-0.1132,4971
129,0.1289,12670
567,0.2997,11800
594,0.1522,12233
53,0.0,449
61,0.3213,4413
311,0.0709,1946
502,0.34,2177
149,0.243,4927
316,0.2759,3905
535,0.4237,1608
48,0.1337,3022
47,0.032,7393
479,0.2937,6922
267,0.2182,5637
507,0.0314,3521
481,0.2387,1155
255,-0.0434,2733
127,-0.0408,1096
35,0.1689,2184
272,0.0318,2880
139,0.3143,9944
154,0.3987,2078
106,0.3166,2842
607,0.1123,13994
340,0.1278,4662
45,0.2974,27326
569,-0.0747,3387
561,0.3323,31818
417,0.1347,7425
274,0.3305,51645
176,0.2093,5175
295,0.4365,3845
197,0.0831,4159
133,0.295,5716
296,0.3573,3302
177,0.2455,39977
602,0.298,11740
380,0.329,45867
140,0.1894,28238
195,0.255,12817
109,0.304,10235
447,0.2037,7968
254,0.2959,13426
416,-0.0406,5498
5,0.1108,5456
486,0.2466,7041
400,0.3148,6339
56,0.2511,5984
191,0.2204,5482
365,0.0303,13571
520,0.199,13485
484,0.1407,14202
525,0.2601,27862
70,0.0604,4748
455,0.2828,7201
49,-0.0555,2751
378,0.1879,5360
88,0.5213,4784
300,-0.0712,3837
98,0.1479,5858
521,0.2344,2383
412,0.1028,6522
347,0.0953,6537
268,0.1933,7861
406,0.0159,631
408,0.2529,8013
531,0.4175,2421
407,0.1333,3210
256,0.1971,9317
543,0.105,5817
556,0.2389,2062
548,0.2186,2123
97,0.3344,3388
487,0.2595,5689
472,0.2113,2451
388,0.1329,991
163,0.2618,1191
431,0.3537,1180
322,0.11,10946
182,0.2348,40593
174,0.0217,7688
568,0.4098,1698
514,0.3978,20015
513,0.2516,4401
490,0.3477,8003
410,-0.0867,6916
462,-0.0738,20340
444,0.3525,5458
78,0.3414,6532
215,0.1739,8753
587,0.2193,9009
432,0.0587,19077
294,0.3153,18239
162,0.132,3664
94,0.2983,7639
62,0.2816,20405
318,0.0658,30566
132,0.2287,23426
43,-0.0939,9371
121,0.3025,6523
409,0.2804,7286
402,0.2105,5005
279,0.185,14489
91,0.2561,35036
15,0.2175,12257
357,0.182,25971
152,0.189,5700
125,0.1544,13316
287,0.2896,9659
116,-0.0078,8873
549,-0.0128,3722
258,0.3305,2582
529,0.2902,2275
7,0.2966,12504
216,0.144,7947
524,0.1866,11941
377,0.343,4125
213,0.2806,5111
345,0.1451,2326
228,0.4927,2251
533,0.1908,2892
534,0.1743,24307
250,0.3453,1442
310,0.2324,3305
485,0.2111,3537
396,0.5043,2461
442,0.0576,650
147,0.1086,1044
578,0.3987,406
478,0.2154,1669
582,0.1433,4470
595,0.3189,1255
547,0.3228,843
562,0.158,14608
261,0.4017,5261
198,0.2367,17911
156,0.1517,20631
14,0.1758,5440
446,0.2595,9496
418,0.3152,8193
317,0.2608,13946
262,0.0079,4064
426,0.0033,7992
239,0.2743,25189
187,0.0185,16445
76,0.1381,11371
57,0.3807,26850
480,0.3436,45153
573,0.2094,24684
351,0.3296,7865
130,0.1484,4107
107,0.2189,4175
263,0.2584,15505
38,0.2475,8249
600,0.2354,36956
348,0.4178,5592
202,0.2826,21473
118,0.3022,2521
437,0.2696,9127
374,0.1935,4729
353,0.3482,7772
574,0.2288,3651
362,0.2515,10497
305,0.2539,33240
570,0.2751,20290
172,0.2236,2360
511,0.5442,3763
312,0.3061,13175
264,0.0606,6216
546,0.0677,2585
234,0.2787,11164
321,0.0906,6554
456,0.1912,2631
389,0.281,2731
244,0.2394,7458
196,0.0697,3698
440,0.3271,1690
303,0.0968,5228
393,0.1249,9805
36,0.2504,2901
280,0.1915,11024
355,0.1315,1889
218,0.2596,1994
208,0.3321,2762
315,0.1884,1148
185,0.3097,3314
13,0.4585,2303
320,0.1543,712
333,0.3786,1082
564,-0.0446,5286
238,-0.1966,1750
474,0.3093,54793
354,0.2499,20813
249,0.4025,41196
17,0.3072,11831
551,0.0137,10526
424,0.0042,10234
217,0.1901,24737
63,0.1588,23337
231,0.0555,3990
136,0.0856,7947
84,0.2885,15757
332,0.2897,19914
386,0.236,7454
441,-0.0289,5249
16,-0.0308,9643
453,0.2215,21780
349,0.2365,4912
222,0.3288,15441
325,0.2559,12489
124,0.4002,5618
290,0.2935,12933
219,0.3608,33409
181,0.1667,8162
170,0.1645,6168
26,0.3,3342
6,0.1589,14691
552,0.4234,11773
399,0.1136,6450
285,0.304,2315
19,0.3079,28867
601,0.2255,9428
577,0.2832,11742
510,0.3066,7449
593,0.2127,11935
517,0.1218,21397
27,0.1635,8509
82,0.1578,16036
364,-0.0569,2334
597,0.2893,22954
269,0.2983,1947
86,0.158,8304
401,-0.0611,5029
89,-0.2198,10053
143,0.0169,3691
571,0.3035,2375
344,0.1666,6974
375,0.3561,3168
112,0.2853,8504
9,0.5014,1981
281,0.3353,1209
252,0.1456,1927
422,0.498,4355
501,-0.0108,2550
430,0.2971,4863
291,-0.0301,2331
397,0.266,581
